NumeroAmostra,X,Y,Classe
1,-0.192805544573921,-0.351325794146206,2
2,0.40665525234054,-0.4520715560576,2
3,0.311256674442092,0.0070272187789895,1
4,0.184843841998495,0.797668241348402,2
5,0.0645991964427388,-0.505947077153015,2
6,0.314224124955703,0.0103969570547945,1
7,0.412951406041742,-0.0137763286294225,1
8,0.302023386281764,0.0223084316228358,1
9,0.325798745309398,0.0202369421266919,1
10,0.382817253233042,0.601622214305743,2
11,-0.584226402798737,0.752769089584917,2
12,0.31508629692153,0.0272726537077652,1
13,0.327438359391679,0.0286831765256553,1
14,-0.722557617172174,0.488963772585569,2
15,0.392845041452894,0.0190015686781646,1
16,-0.121091596266242,-0.465083239758139,2
17,-0.1954325742675,-0.413235188565172,2
18,0.409700000715483,0.0209490106802716,1
19,-0.268431307779805,-0.340047792774881,2
20,0.402077162249264,0.0279413803883962,1
21,0.685242046809627,0.238200639405632,2
22,0.615701761217569,-0.148506075247666,2
23,0.346110113261138,0.043072128265292,1
24,0.407128654418735,0.0380197939776961,1
25,0.339913705447729,0.0532702880944421,1
26,-0.835448238638803,0.460205801107877,2
27,0.357523242985189,0.0555192960237242,1
28,-0.328807839739094,-0.108139662796718,2
29,-0.238769841937948,-0.243574681075663,2
30,0.37853062054262,-0.369352762980949,2
31,-0.291227220756589,-0.152899024648948,2
32,-0.231441585502959,-0.4379655752019,2
33,0.325917802722758,0.0640317423879507,1
34,0.419475509586452,0.0587075224875067,1
35,0.338226209004982,0.0716658601085556,1
36,0.423152185234481,0.0697424676149397,1
37,0.696254443557092,0.111446066884336,2
38,0.564426429819252,0.457360753436338,2
39,0.267479267530895,0.0851884423068514,1
40,0.662802741201987,0.0516238824337915,2
41,0.348200182206664,0.0848385732093748,1
42,0.326228120772782,0.0903213391664319,1
43,0.28726810807837,0.0955880391488078,1
44,0.752996079500525,0.220587350604339,2
45,-1.02095721232552,0.201439518298095,2
46,-0.150408505331764,0.863596642715041,2
47,0.137353232911758,0.753238877139628,2
48,0.342779848864533,0.0990404781980364,1
49,-0.404960134640249,0.694857971141751,2
50,0.671288080625118,-0.16261596892458,2
51,-0.356667408561473,0.813475473169622,2
52,-0.329209616012092,-0.0548232899432868,2
53,-0.11116104510333,-0.458979369061473,2
54,0.654147856846073,0.153497830091246,2
55,0.443219116574298,0.104255656802148,1
56,0.647815769722224,0.258000939620565,2
57,-0.393391218866174,-0.223621676744052,2
58,-1.01705281644563,0.186583247742008,2
59,-0.343390150299188,-0.171846591632672,2
60,0.325905675869956,0.108084689097673,1
61,0.349262173905614,0.113323824145621,1
62,0.517889499391597,0.515173246429049,2
63,0.34268524547189,0.117838013419732,1
64,-0.0507571474372205,0.869931052206538,2
65,0.0826597684383362,-0.54838979379675,2
66,0.373002811005681,0.124395277268758,1
67,0.348734628532299,0.127804535569536,1
68,0.278456166348009,0.126586418119535,1
69,0.367438453835085,0.139473946439551,1
70,0.125627379959525,-0.545543150310386,2
71,0.19934433835479,-0.43790412775118,2
72,0.303687648298724,0.137395601016884,1
73,0.0545578005871206,-0.476510970868176,2
74,0.330710688751923,0.145201997700936,1
75,0.317650541824102,0.148110150967457,1
76,0.330148465063194,0.154661868832019,1
77,0.410384403932518,0.173051341149114,1
78,0.386215931323506,0.174600833748906,1
79,0.357512845958663,0.174628291233861,1
80,0.403758394087202,0.189710534083391,1
81,0.746321754919792,0.150574318214847,2
82,-0.282546341596202,-0.374134819546578,2
83,0.0604105839928038,-0.480005580497233,2
84,0.354612172772311,0.184672207031995,1
85,0.36178297222909,0.191767680138469,1
86,0.354527872583498,0.19546176487933,1
87,0.660440247346529,0.421240742399967,2
88,0.312616125214513,0.189718643340115,1
89,0.284811045304133,-0.434441270997291,2
90,0.40769154997382,0.221494414087259,1
91,-0.278777353442363,-0.326849854810398,2
92,0.326736792535935,0.20383399333419,1
93,0.556898507180398,-0.401502221181773,2
94,-0.0119256193737206,-0.523674759377896,2
95,0.300190532281521,-0.374963307370614,2
96,0.382566393602693,0.226479783973756,1
97,0.760056411942736,-0.114862854060395,2
98,0.241996758700624,0.186749282593854,1
99,0.160171802342895,0.162944017010882,1
100,0.310185998540363,0.219327500297501,1
101,-0.461423758891088,0.770967882252668,2
102,0.23340057158517,-0.527322062768199,2
103,0.32530588484289,0.230206478033955,1
104,-0.252102178355317,-0.355748784465627,2
105,-0.033474359932801,-0.501223178754766,2
106,0.341057111856352,0.241862999531595,1
107,0.570042762765686,0.529231466411031,2
108,0.398563272117566,0.270877175682789,1
109,-0.620935301961015,0.742477059210026,2
